add-none,1,100,200,283369,1416,0
add-none,1,1000,2000,311532,155,0
add-none,1,10000,20000,518703,25,0
add-none,1,100000,200000,2504644,12,0
add-none,1,1000000,2000000,22783653,11,0
add-none,2,100,400,304793,761,0
add-none,2,1000,4000,297756,74,0
add-none,2,10000,40000,1062587,26,0
add-none,2,100000,400000,10995402,27,11
add-none,4,10000,80000,2105756,26,67
add-none,8,100,1600,596266,372,0
add-none,8,1000,16000,821676,51,7
add-none,8,10000,160000,5312916,33,67
add-none,8,100000,1600000,41699272,26,776
add-none,12,10000,240000,7815245,32,82
add-yield-none,2,10,40,353575,8839,0
add-yield-none,4,10,80,379395,4742,1
add-yield-none,8,10,160,648594,4053,3
add-yield-none,12,10,240,849953,3541,2
add-yield-none,2,20,80,342121,4276,1
add-yield-none,4,20,160,417417,2608,0
add-yield-none,8,20,320,616969,1928,1
add-yield-none,12,20,480,883111,1839,4
add-yield-none,2,40,160,456328,2852,0
add-yield-none,4,40,320,475925,1487,1
add-yield-none,8,40,640,708425,1106,3
add-yield-none,12,40,960,893705,930,3
add-yield-none,2,80,320,569291,1779,1
add-yield-none,4,80,640,647747,1012,1
add-yield-none,8,80,1280,824559,644,1
add-yield-none,12,80,1920,2851242,1485,0
add-yield-none,2,100,400,669761,1674,0
add-yield-none,4,100,800,670571,838,0
add-yield-none,8,100,1600,894602,559,2
add-yield-none,12,100,2400,1052333,438,3
add-yield-none,2,1000,4000,3715816,928,0
add-yield-none,4,1000,8000,3741368,467,2
add-yield-none,8,1000,16000,4375781,273,3
add-yield-none,12,1000,24000,5465439,227,2
add-yield-none,2,10000,40000,34804514,870,3
add-yield-none,4,10000,80000,35885158,448,3
add-yield-none,8,10000,160000,36083000,225,4
add-yield-none,12,10000,240000,47666333,198,5
add-yield-none,2,100000,400000,323981704,809,0
add-yield-none,4,100000,800000,347862086,434,6
add-yield-none,8,100000,1600000,340671658,212,8
add-yield-none,12,100000,2400000,320181664,133,61
add-yield-m,2,10000,40000,64374908,1609,0
add-yield-m,4,10000,80000,151987280,1899,0
add-yield-m,8,10000,160000,310913053,1943,0
add-yield-m,12,10000,240000,484629419,2019,0
add-yield-c,2,10000,40000,41422668,1035,0
add-yield-c,4,10000,80000,76079137,950,0
add-yield-c,8,10000,160000,148633667,928,0
add-yield-c,12,10000,240000,268260399,1117,0
add-yield-s,2,1000,4000,5834505,1458,0
add-yield-s,4,1000,8000,12661873,1582,0
add-yield-s,8,1000,16000,33743331,2108,0
add-yield-s,12,1000,24000,59557743,2481,0
add-m,1,10000,20000,1136566,56,0
add-m,2,10000,40000,7935558,198,0
add-m,4,10000,80000,19689491,246,0
add-m,8,10000,160000,38663688,241,0
add-m,12,10000,240000,63757729,265,0
add-c,1,10000,20000,992711,49,0
add-c,2,10000,40000,5167771,129,0
add-c,4,10000,80000,17340588,216,0
add-c,8,10000,160000,29363247,183,0
add-c,12,10000,240000,52283057,217,0
add-s,1,10000,20000,794098,39,0
add-s,2,10000,40000,9350740,233,0
add-s,4,10000,80000,35447315,443,0
add-s,8,10000,160000,106279597,664,0
add-s,12,10000,240000,240595076,1002,0
